No,Center,Length,Width,Diagonal,Energy,Entropy,Mean,Median
1,"133,1",5 px,8 px,9 px,4.248,5.12,124,122
2,"165,1",4 px,7 px,8 px,2.592,4.52,134,144
3,"210,8",18 px,20 px,26 px,21.304,4.38,67,63
4,"512,5",12 px,12 px,16 px,10.657,3.6,107,157
5,"637,2",5 px,8 px,9 px,4.695,5.22,131,137
6,"650,2",6 px,13 px,14 px,8.512,5.4,111,96
7,"666,5",13 px,10 px,16 px,11.915,5.82,113,89
8,"694,7",18 px,32 px,36 px,37.769,4.83,68,67
9,"721,1",4 px,10 px,10 px,4.015,4.9,121,96
10,"743,4",10 px,9 px,13 px,8.284,5.78,114,87
11,"829,2",7 px,10 px,12 px,7.258,5.54,115,89
12,"863,2",7 px,10 px,12 px,7.29,5.48,112,82
13,"1010,2",7 px,12 px,13 px,7.502,5.52,117,96
14,"1041,5",15 px,44 px,46 px,45.425,5.41,79,69
15,"1111,5",10 px,9 px,13 px,9.721,5.68,120,101
16,"908,6",11 px,12 px,16 px,12.308,5.87,116,77
17,"759,17",23 px,37 px,43 px,38.827,4.01,54,0
18,"772,9",9 px,8 px,12 px,5.789,5.75,125,117
19,"51,10",10 px,10 px,14 px,9.937,5.95,136,132
20,"192,10",8 px,10 px,12 px,8.804,5.86,132,130
21,"883,14",16 px,27 px,31 px,32.222,5.38,80,70
22,"848,12",10 px,11 px,14 px,12.495,6.05,124,112
23,"935,12",10 px,11 px,14 px,10.236,5.9,125,95
24,"234,20",27 px,27 px,38 px,40.736,4.71,66,64
25,"401,13",11 px,12 px,16 px,11.797,5.82,110,73
26,"947,12",7 px,7 px,9 px,5.5,5.44,138,137
27,"1092,20",22 px,29 px,36 px,44.703,5.19,77,68
28,"25,19",19 px,16 px,24 px,24.878,5.41,86,70
29,"376,19",20 px,11 px,22 px,22.23,6.11,110,77
30,"73,25",18 px,22 px,28 px,27.528,4.96,77,67
31,"108,19",9 px,9 px,12 px,7.706,5.79,129,126
32,"433,28",26 px,29 px,38 px,49.411,4.99,72,65
33,"1120,21",7 px,7 px,9 px,5.023,5.41,138,141
34,"1141,24",15 px,16 px,21 px,22.758,5.8,99,72
35,"56,22",8 px,9 px,12 px,6.839,5.65,135,137
